example_id                                                                         | status  | run_time        |
---------------------------------------------------------------------------------- | ------- | --------------- |
./spec/agents/admin/dashboard_agent_spec.rb[1:1:1]                                 | passed  | 0.0107 seconds  |
./spec/agents/admin/dashboard_agent_spec.rb[1:2:1]                                 | passed  | 0.0407 seconds  |
./spec/agents/admin/dashboard_agent_spec.rb[1:2:2:1]                               | passed  | 0.11348 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:3:1]                                 | passed  | 0.04893 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:4:1]                                 | passed  | 0.20874 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:4:2:1]                               | passed  | 0.04852 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:5:1]                                 | passed  | 0.02877 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:5:2]                                 | passed  | 0.02312 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:6:1]                                 | passed  | 0.00336 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:6:2]                                 | passed  | 0.00212 seconds |
./spec/agents/admin/dashboard_agent_spec.rb[1:7:1:1]                               | passed  | 0.0285 seconds  |
./spec/agents/admin/dashboard_agent_spec.rb[1:7:2:1]                               | passed  | 0.00239 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:1:1:1]                          | passed  | 0.00265 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:1:2:1]                          | passed  | 0.00784 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:1:2:2]                          | passed  | 0.0092 seconds  |
./spec/controllers/admin/base_controller_spec.rb[1:1:3:1]                          | passed  | 0.0096 seconds  |
./spec/controllers/admin/base_controller_spec.rb[1:1:4:1]                          | failed  | 0.00863 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:1:4:2]                          | failed  | 0.00795 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:1:4:3]                          | failed  | 0.00934 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:2:1:1]                          | failed  | 0.00951 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:2:2:1]                          | failed  | 0.01001 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:3:1:1]                          | failed  | 0.00952 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:3:2:1]                          | failed  | 0.00963 seconds |
./spec/controllers/admin/base_controller_spec.rb[1:3:3:1]                          | failed  | 0.00988 seconds |
./spec/controllers/admin/dashboard_controller_spec.rb[1:1:1:1]                     | passed  | 0.01853 seconds |
./spec/controllers/admin/dashboard_controller_spec.rb[1:1:1:2]                     | passed  | 0.04456 seconds |
./spec/controllers/admin/dashboard_controller_spec.rb[1:1:1:3]                     | passed  | 0.16496 seconds |
./spec/controllers/admin/dashboard_controller_spec.rb[1:1:2:1]                     | passed  | 0.01044 seconds |
./spec/controllers/admin/dashboard_controller_spec.rb[1:1:3:1]                     | passed  | 0.00334 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:1:1]                            | passed  | 0.00337 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:2:1]                            | passed  | 0.00334 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:3:1]                            | passed  | 0.00969 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:3:2]                            | passed  | 0.01989 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:4:1]                            | passed  | 0.01013 seconds |
./spec/controllers/api/base_controller_spec.rb[1:1:5:1]                            | passed  | 0.00909 seconds |
./spec/controllers/api/base_controller_spec.rb[1:2:1:1]                            | passed  | 0.01543 seconds |
./spec/controllers/api/base_controller_spec.rb[1:2:2:1]                            | passed  | 0.01218 seconds |
./spec/controllers/api/base_controller_spec.rb[1:3:1]                              | passed  | 0.19274 seconds |
./spec/controllers/api/base_controller_spec.rb[1:3:2]                              | passed  | 0.01202 seconds |
./spec/controllers/api/base_controller_spec.rb[1:3:3]                              | passed  | 0.01388 seconds |
./spec/controllers/api/base_controller_spec.rb[1:4:1]                              | passed  | 0.02338 seconds |
./spec/controllers/api/base_controller_spec.rb[1:4:2]                              | passed  | 0.0138 seconds  |
./spec/controllers/api/base_controller_spec.rb[1:5:1]                              | passed  | 0.01066 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:1:1]               | passed  | 0.01734 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:1:2]               | passed  | 0.19304 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:1:3]               | passed  | 0.01715 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:1]               | passed  | 0.01566 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:2]               | passed  | 0.01729 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:3]               | passed  | 0.01712 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:4]               | passed  | 0.01694 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:5]               | passed  | 0.01729 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:6]               | passed  | 0.01605 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:2:7]               | passed  | 0.02388 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:3:1]               | passed  | 0.01672 seconds |
./spec/controllers/api/v1/discount_codes_controller_spec.rb[1:1:4:1]               | passed  | 0.017 seconds   |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:1:1]                        | passed  | 0.01956 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:1:2]                        | passed  | 0.01803 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:1:3]                        | passed  | 0.01792 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:2:1]                        | passed  | 0.03132 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:3:1]                        | passed  | 0.02096 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:1:4:1]                        | passed  | 0.0123 seconds  |
./spec/controllers/api/v1/forms_controller_spec.rb[1:2:1:1]                        | passed  | 0.01535 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:2:1:2]                        | passed  | 0.01496 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:2:1:3]                        | passed  | 0.016 seconds   |
./spec/controllers/api/v1/forms_controller_spec.rb[1:2:2:1]                        | passed  | 0.0092 seconds  |
./spec/controllers/api/v1/forms_controller_spec.rb[1:2:3:1]                        | passed  | 0.01498 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:3:1:1]                        | passed  | 0.01243 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:3:1:2]                        | passed  | 0.01215 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:3:2:1]                        | passed  | 0.01006 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:3:3:1]                        | passed  | 0.01514 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:4:1:1]                        | passed  | 0.01656 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:4:1:2]                        | passed  | 0.01593 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:4:2:1]                        | passed  | 0.06006 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:5:1:1]                        | passed  | 0.0307 seconds  |
./spec/controllers/api/v1/forms_controller_spec.rb[1:5:1:2]                        | passed  | 0.015 seconds   |
./spec/controllers/api/v1/forms_controller_spec.rb[1:6:1:1]                        | passed  | 0.01522 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:6:1:2]                        | passed  | 0.01608 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:6:1:3]                        | passed  | 0.02362 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:6:2:1]                        | passed  | 0.01618 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:7:1]                          | passed  | 0.01438 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:7:2]                          | passed  | 0.02535 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:8:1:1]                        | passed  | 0.02333 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:8:1:2]                        | passed  | 0.02848 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:8:2:1]                        | passed  | 0.01494 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:9:1]                          | passed  | 0.01465 seconds |
./spec/controllers/api/v1/forms_controller_spec.rb[1:9:2]                          | passed  | 0.01813 seconds |
